序号,1、Please select the option that best describes your experience with OpenRice:,2、Please select the option that best describes your experience with OpenRice:,3、Which feature(s) did you concern during your last visit?,4、Rank the following features according to your level of concern during your last visit.,"5、On a scale of 1 to 5, how likely are you to consider the following UI features when making a choice?—Restaurant Information (e.g. Introduction, Address, Opening Hours etc) ","5、User interface elements (price, images, menu)",5、Pricing,5、The Appealing images,5、The detailed menu,5、The comments from other users,5、The rating from other users,5、The discounts or promotions,5、The detailed food descriptions,"6、To what extent do you agree with the statement about your personalities? Use a scale of 1 to 5, where 1 indicates ""Strongly Disagree"" and 5 indicates ""Strongly Agree.""—Is depressed, blue","6、Is relaxed, handles stress well",6、Can be tense,6、Worries a lot,"6、Is emotionally stable, not easily upset",6、Can be moody,6、Remains calm in tense situations,6、Gets nervous hardly,7、What is your gender?,8、Which age group do you belong?,9、What is the highest degree or level of education you have completed?,10、What is your current employment status?,"11、On a scale of 5, how well your expectations were met after reviewing OpenRice.","12、On a scale from 1 to 5, how would you rate your recent experience after perusing OpenRice?",13、Please provide the name of the last restaurant you dined at?,总分
45,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","Rating→Pricing→Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images→Comments from Other Users",Moderately Important  ,Extremely Important,Very Important,Very Important,Very Important,Extremely Important,Very Important,Extremely Important,Very Important,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Female,25 - 34,Bachelor's degree,Employed Part-Time,Satisfied,Normal,唐宮小聚,60
46,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","Pricing→Detailed Menu→Rating→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users",Moderately Important  ,Extremely Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Moderately Important  ,Extremely Important,Very Important,Disagree,Strongly Disagree,Strongly Disagree,Normal,Normal,Disagree,Disagree,Disagree,Female,15 - 24,Master's degree,Employed Part-Time,Very Satisfied,Very Satisfied,豪華咖啡茶廳,65
47,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Very Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Very Important,Extremely Important,Very Important,Extremely Important,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Male,Above 64,Primary school,Retired,Unsatisfied,Very Satisfied,坤記糕品,85
48,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Appealing images→Rating→Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Comments from Other Users",Not Important at All,Very Important,Slightly Important,Not Important at All,Not Important at All,Not Important at All,Slightly Important,Moderately Important  ,Very Important,Agree,Agree,Agree,Strongly Agree,Normal,Agree,Agree,Agree,Female,15 - 24,"Doctoral degree (Ph.D., Ed.D., etc.)",Employed Full-Time,Satisfied,Unsatisfied,華姐清湯腩,57
49,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Detailed Menu→Comments from Other Users→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Rating",Not Important at All,Not Important at All,Slightly Important,Not Important at All,Not Important at All,Slightly Important,Slightly Important,Slightly Important,Moderately Important  ,Normal,Strongly Agree,Strongly Agree,Agree,Agree,Normal,Strongly Agree,Strongly Agree,Male,15 - 24,Associate degree / Diploma,Employed Part-Time,Very Satisfied,Very Satisfied,源記餐廳,59
50,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Appealing images┋Detailed Menu┋Food Descriptions","Comments from Other Users→Detailed Menu→Pricing→Appealing images→Rating→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Extremely Important,Very Important,Very Important,Moderately Important  ,Extremely Important,Extremely Important,Extremely Important,Moderately Important  ,Extremely Important,Agree,Normal,Agree,Strongly Agree,Normal,Normal,Strongly Agree,Strongly Agree,Male,15 - 24,Bachelor's degree,Employed Part-Time,Satisfied,Very Satisfied,波記燒臘,80
51,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Detailed Menu→Appealing images",Very Important,Extremely Important,Moderately Important  ,Extremely Important,Very Important,Moderately Important  ,Extremely Important,Extremely Important,Very Important,Strongly Disagree,Normal,Disagree,Disagree,Normal,Agree,Disagree,Disagree,Female,55 - 64,Secondary school,Seeking opportunities,Unsatisfied,Satisfied,坤記糕品,63
52,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Comments from Other Users","Appealing images→Detailed Menu→Comments from Other Users→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Extremely Important,Very Important,Very Important,Very Important,Very Important,Extremely Important,Very Important,Extremely Important,Moderately Important  ,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Male,25 - 34,Associate degree / Diploma,Seeking opportunities,Normal,Very Satisfied,第三代肥仔小食店,80
53,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Comments from Other Users→Appealing images→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu",Extremely Important,Extremely Important,Extremely Important,Very Important,Very Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Male,15 - 24,Master's degree,Employed Part-Time,Very Satisfied,Very Satisfied,華姐清湯腩,89
54,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"(空)→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Not Important at All,Not Important at All,Not Important at All,Not Important at All,Slightly Important,Moderately Important  ,Not Important at All,Moderately Important  ,Slightly Important,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Normal,Female,15 - 24,Associate degree / Diploma,Employed Part-Time,Very Satisfied,Normal,榮記粉麵,57
55,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","(空)→Detailed Menu→Pricing→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users",Very Important,Extremely Important,Extremely Important,Moderately Important  ,Very Important,Very Important,Very Important,Very Important,Moderately Important  ,Disagree,Disagree,Disagree,Normal,Disagree,Normal,Normal,Strongly Disagree,Male,0 - 14,Secondary school,Student,Very Unsatisfied,Very Satisfied,肥姐小食店,60
56,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Detailed Menu→Pricing→Appealing images→Comments from Other Users→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Slightly Important,Not Important at All,Moderately Important  ,Slightly Important,Very Important,Not Important at All,Slightly Important,Not Important at All,Slightly Important,Agree,Strongly Agree,Agree,Strongly Agree,Normal,Agree,Strongly Agree,Agree,Female,45 - 54,Primary school,Employed Full-Time,Very Unsatisfied,Normal,再興燒臘,56
57,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Comments from Other Users","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu→Pricing→Appealing images",Extremely Important,Very Important,Extremely Important,Extremely Important,Very Important,Very Important,Moderately Important  ,Very Important,Extremely Important,Agree,Normal,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Normal,Male,25 - 34,Associate degree / Diploma,Employed Full-Time,Very Unsatisfied,Satisfied,甘牌燒鵝,77
58,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"(空)→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Very Important,Very Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Moderately Important  ,Moderately Important  ,Very Important,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Female,25 - 34,"Doctoral degree (Ph.D., Ed.D., etc.)",Employed Part-Time,Very Unsatisfied,Unsatisfied,Bakehouse,74
59,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","(空)→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Very Important,Not Important at All,Slightly Important,Not Important at All,Slightly Important,Not Important at All,Moderately Important  ,Slightly Important,Not Important at All,Agree,Strongly Agree,Agree,Normal,Agree,Agree,Normal,Strongly Agree,Female,Above 64,Primary school,Retired,Very Satisfied,Very Unsatisfied,一樂燒鵝,55
60,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"(空)→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Very Important,Extremely Important,Extremely Important,Very Important,Very Important,Moderately Important  ,Very Important,Very Important,Very Important,Agree,Strongly Agree,Agree,Strongly Agree,Normal,Normal,Strongly Agree,Strongly Agree,Male,45 - 54,Primary school,Seeking opportunities,Unsatisfied,Very Satisfied,強記美食,78
61,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Appealing images┋Detailed Menu┋Food Descriptions","Pricing→Comments from Other Users→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu",Extremely Important,Extremely Important,Very Important,Very Important,Very Important,Extremely Important,Extremely Important,Very Important,Moderately Important  ,Agree,Strongly Agree,Normal,Normal,Strongly Agree,Agree,Agree,Agree,Female,25 - 34,Bachelor's degree,Employed Part-Time,Very Satisfied,Satisfied,唐宮小聚,80
62,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","Comments from Other Users→Appealing images→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu",Very Important,Extremely Important,Moderately Important  ,Very Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Normal,Strongly Agree,Male,15 - 24,Bachelor's degree,Employed Full-Time,Normal,Satisfied,一樂燒鵝,83
63,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Appealing images┋Detailed Menu┋Food Descriptions","Comments from Other Users→Pricing→Appealing images→Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Very Important,Very Important,Extremely Important,Very Important,Extremely Important,Very Important,Moderately Important  ,Extremely Important,Extremely Important,Agree,Normal,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Female,45 - 54,Primary school,Employed Part-Time,Unsatisfied,Satisfied,義順牛奶公司,79
64,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Pricing→Comments from Other Users→Appealing images→Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Moderately Important  ,Extremely Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Very Important,Very Important,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Normal,Agree,Female,15 - 24,Bachelor's degree,Employed Part-Time,Very Satisfied,Satisfied,波記燒臘,84
65,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Comments from Other Users","(空)→Appealing images→Comments from Other Users→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Detailed Menu",Very Important,Extremely Important,Moderately Important  ,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Very Important,Strongly Agree,Strongly Agree,Normal,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Male,45 - 54,Primary school,Seeking opportunities,Satisfied,Very Satisfied,嚐囍煲仔小菜,84
66,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","(空)→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Moderately Important  ,Very Important,Slightly Important,Not Important at All,Moderately Important  ,Moderately Important  ,Moderately Important  ,Moderately Important  ,Slightly Important,Agree,Strongly Agree,Agree,Normal,Normal,Normal,Strongly Agree,Normal,Female,25 - 34,"Doctoral degree (Ph.D., Ed.D., etc.)",Seeking opportunities,Very Unsatisfied,Normal,利強記北角雞蛋仔,58
67,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","Pricing→Detailed Menu→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users",Moderately Important  ,Very Important,Extremely Important,Moderately Important  ,Extremely Important,Extremely Important,Very Important,Very Important,Extremely Important,Agree,Agree,Strongly Agree,Agree,Normal,Strongly Agree,Strongly Agree,Agree,Male,15 - 24,Master's degree,Seeking opportunities,Very Unsatisfied,Very Satisfied,新斗記,78
68,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","(空)→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Very Important,Very Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Very Important,Very Important,Normal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Male,55 - 64,Primary school,Employed Part-Time,Satisfied,Very Satisfied,華嫂冰室,84
69,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","(空)→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Very Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Very Important,Extremely Important,Very Important,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Normal,Strongly Agree,Strongly Agree,Female,45 - 54,Primary school,Employed Part-Time,Very Satisfied,Very Satisfied,甘の季節,86
70,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Rating→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Comments from Other Users→Detailed Menu",Extremely Important,Extremely Important,Extremely Important,Moderately Important  ,Very Important,Very Important,Extremely Important,Extremely Important,Very Important,Strongly Agree,Strongly Agree,Strongly Agree,Normal,Normal,Strongly Agree,Strongly Agree,Agree,Female,35 - 44,Associate degree / Diploma,Employed Full-Time,Very Unsatisfied,Very Unsatisfied,生記粥品,77
71,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Rating→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users→Detailed Menu→Appealing images→Pricing",Extremely Important,Very Important,Extremely Important,Extremely Important,Moderately Important  ,Very Important,Very Important,Extremely Important,Extremely Important,Normal,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Male,25 - 34,Bachelor's degree,Employed Part-Time,Very Satisfied,Very Satisfied,劉森記麵家,85
72,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","(空)→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Very Important,Extremely Important,Very Important,Very Important,Moderately Important  ,Extremely Important,Very Important,Extremely Important,Moderately Important  ,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Normal,Normal,Strongly Disagree,Female,25 - 34,Associate degree / Diploma,Seeking opportunities,Unsatisfied,Satisfied,紅茶冰室,61
73,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Comments from Other Users→Appealing images→Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Extremely Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Extremely Important,Normal,Strongly Agree,Normal,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Female,35 - 44,Master's degree,Employed Full-Time,Satisfied,Very Satisfied,坤記煲仔小菜,81
74,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu→Pricing→Appealing images",Extremely Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Moderately Important  ,Extremely Important,Very Important,Extremely Important,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Female,45 - 54,Secondary school,Employed Full-Time,Very Unsatisfied,Satisfied,周記點心,82
75,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","(空)→Comments from Other Users→Detailed Menu→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Very Important,Very Important,Extremely Important,Very Important,Very Important,Very Important,Moderately Important  ,Very Important,Very Important,Strongly Disagree,Disagree,Disagree,Normal,Strongly Disagree,Strongly Disagree,Normal,Agree,Male,25 - 34,Bachelor's degree,Employed Part-Time,Satisfied,Very Satisfied,維記咖啡粉麵,62
76,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","(空)→Appealing images→Comments from Other Users→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu→Pricing",Extremely Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Very Important,Very Important,Extremely Important,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Male,45 - 54,Secondary school,Employed Part-Time,Unsatisfied,Very Satisfied,佳佳甜品,86
77,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Appealing images┋Detailed Menu┋Food Descriptions","Pricing→Detailed Menu→Comments from Other Users→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images",Extremely Important,Very Important,Very Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Female,15 - 24,Master's degree,Employed Full-Time,Satisfied,Satisfied,麥奀記,85
78,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","(空)→Rating→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Comments from Other Users→Detailed Menu→Appealing images",Extremely Important,Extremely Important,Very Important,Very Important,Moderately Important  ,Extremely Important,Very Important,Very Important,Very Important,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Normal,Normal,Normal,Female,15 - 24,Bachelor's degree,Employed Part-Time,Very Unsatisfied,Very Satisfied,強記美食,61
79,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","(空)→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Extremely Important,Very Important,Very Important,Extremely Important,Very Important,Extremely Important,Very Important,Very Important,Moderately Important  ,Normal,Disagree,Disagree,Normal,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Female,0 - 14,Primary school,Student,Very Unsatisfied,Very Satisfied,良記餐廳,59
80,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Appealing images┋Detailed Menu┋Food Descriptions","Appealing images→Comments from Other Users→Pricing→Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Very Important,Very Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Female,35 - 44,Bachelor's degree,Employed Part-Time,Unsatisfied,Unsatisfied,豪華咖啡茶廳,83
81,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Detailed Menu→Pricing→Appealing images→Comments from Other Users→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Very Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Very Important,Extremely Important,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Normal,Male,25 - 34,Associate degree / Diploma,Employed Full-Time,Very Satisfied,Satisfied,利苑酒家,88
82,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"(空)→Appealing images→Detailed Menu→Comments from Other Users→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Very Important,Very Important,Extremely Important,Very Important,Very Important,Very Important,Extremely Important,Extremely Important,Very Important,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Female,15 - 24,Associate degree / Diploma,Employed Full-Time,Satisfied,Satisfied,富記粥品,80
83,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Comments from Other Users→Appealing images→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu",Moderately Important  ,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Moderately Important  ,Very Important,Extremely Important,Normal,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Male,25 - 34,Bachelor's degree,Employed Part-Time,Unsatisfied,Satisfied,華記小食,63
84,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Comments from Other Users→Appealing images→Detailed Menu→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Slightly Important,Slightly Important,Very Important,Not Important at All,Moderately Important  ,Moderately Important  ,Slightly Important,Slightly Important,Slightly Important,Normal,Disagree,Disagree,Agree,Normal,Normal,Disagree,Strongly Disagree,Male,25 - 34,Bachelor's degree,Employed Full-Time,Very Unsatisfied,Unsatisfied,九記牛腩,44
85,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Detailed Menu→Comments from Other Users→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Very Important,Extremely Important,Extremely Important,Very Important,Very Important,Very Important,Extremely Important,Very Important,Very Important,Strongly Agree,Normal,Normal,Normal,Strongly Agree,Agree,Agree,Strongly Agree,Female,25 - 34,Associate degree / Diploma,Employed Part-Time,Very Unsatisfied,Satisfied,麥文記,76
86,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"(空)→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users→Discounts or Promotions→Rating→Pricing→Appealing images→Detailed Menu",Extremely Important,Extremely Important,Very Important,Extremely Important,Moderately Important  ,Extremely Important,Very Important,Very Important,Extremely Important,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Female,25 - 34,Associate degree / Diploma,Employed Full-Time,Satisfied,Very Satisfied,裕興咖啡,84
87,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","(空)→Pricing→Comments from Other Users→Appealing images→Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Very Important,Very Important,Extremely Important,Extremely Important,Moderately Important  ,Moderately Important  ,Extremely Important,Extremely Important,Very Important,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Normal,Agree,Normal,Normal,Female,0 - 14,Primary school,Student,Satisfied,Very Satisfied,麥奀記,79
88,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Comments from Other Users→Pricing→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu",Extremely Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Very Important,Very Important,Extremely Important,Extremely Important,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Male,15 - 24,Bachelor's degree,Employed Part-Time,Very Unsatisfied,Satisfied,第三代肥仔小食店,84
89,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Appealing images┋Detailed Menu┋Food Descriptions","Pricing→Comments from Other Users→Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images",Extremely Important,Very Important,Extremely Important,Extremely Important,Very Important,Moderately Important  ,Extremely Important,Very Important,Extremely Important,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Male,35 - 44,Bachelor's degree,Employed Full-Time,Very Satisfied,Satisfied,公和荳品廠,84
90,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Comments from Other Users","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Detailed Menu→Appealing images",Extremely Important,Extremely Important,Very Important,Very Important,Moderately Important  ,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Strongly Agree,Normal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Male,15 - 24,Associate degree / Diploma,Employed Part-Time,Normal,Normal,利強記北角雞蛋仔,84
91,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Appealing images┋Detailed Menu┋Food Descriptions","Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users→Appealing images→Rating→Discounts or Promotions→Detailed Menu",Not Important at All,Slightly Important,Slightly Important,Very Important,Very Important,Not Important at All,Not Important at All,Slightly Important,Very Important,Agree,Disagree,Normal,Normal,Strongly Disagree,Disagree,Normal,Normal,Male,25 - 34,Master's degree,Employed Part-Time,Unsatisfied,Very Satisfied,金華冰廳,49
92,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","Detailed Menu→Comments from Other Users→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images",Extremely Important,Very Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Moderately Important  ,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Normal,Male,45 - 54,Primary school,Seeking opportunities,Unsatisfied,Very Satisfied,華姐清湯腩,82
