q1,q2,q3,q4,q5a,q5b,q5c,q5d,q5e,q5f,q5g,q5h,q5i,q5j,q6a,q6b,q6c,q6d,q6e,q6f,q6g,q6h,q7,q8,q9,q10,q11,q12,q13,Total,emotional_total,stable_total,personality,rating
71,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Rating', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users', 'Detailed Menu', 'Appealing images', 'Pricing']",5,4,5,5,3,4,4,5,5,3,1,5,5,2,4,2,1,1,3,4,2,5,5,劉森記麵家,85,17,6,emotional,3.5
72,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",4,5,4,4,3,5,4,5,3,2,4,2,1,2,3,3,5,0,3,3,3,2,4,紅茶冰室,61,8,14,stable,3.5
73,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Comments from Other Users', 'Appealing images', 'Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",5,4,4,4,4,4,4,4,5,3,1,3,5,1,4,2,1,0,4,5,1,4,5,坤記煲仔小菜,81,15,5,emotional,3.5
74,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu', 'Pricing', 'Appealing images']",5,5,5,4,5,3,5,4,5,4,2,5,4,1,4,1,1,0,5,2,1,1,4,周記點心,82,17,5,emotional,4.0
75,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Comments from Other Users', 'Detailed Menu', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",4,4,5,4,4,4,3,4,4,1,4,2,3,5,1,3,2,1,3,4,2,4,5,維記咖啡粉麵,62,7,14,stable,3.5
76,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Appealing images', 'Comments from Other Users', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu', 'Pricing']",5,5,5,4,5,5,4,4,5,5,2,4,5,1,5,1,2,1,5,2,2,2,5,佳佳甜品,86,19,6,emotional,3.5
77,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Pricing', 'Detailed Menu', 'Comments from Other Users', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images']",5,4,4,4,5,5,5,5,4,5,1,4,5,1,4,2,2,0,2,5,1,4,4,麥奀記,85,18,6,emotional,3.5
78,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Rating', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Comments from Other Users', 'Detailed Menu', 'Appealing images']",5,5,4,4,3,5,4,4,4,2,5,1,2,4,3,3,3,0,2,4,2,1,5,強記美食,61,8,15,stable,3.5
79,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",5,4,4,5,4,5,4,4,3,3,4,2,3,5,1,4,5,0,1,1,5,1,5,良記餐廳,59,9,18,stable,3.5
80,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Appealing images', 'Comments from Other Users', 'Pricing', 'Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",4,4,5,4,5,5,5,5,5,5,1,4,5,2,5,2,1,0,4,4,2,2,2,豪華咖啡茶廳,83,19,6,emotional,3.5
81,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Detailed Menu', 'Pricing', 'Appealing images', 'Comments from Other Users', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",4,5,5,5,5,5,4,4,5,5,1,5,5,1,5,2,3,1,3,3,1,5,4,利苑酒家,88,20,7,emotional,3.5
82,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Appealing images', 'Detailed Menu', 'Comments from Other Users', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",4,4,5,4,4,4,5,5,4,4,2,4,4,2,4,1,2,0,2,3,1,4,4,富記粥品,80,16,7,emotional,3.5
83,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Comments from Other Users', 'Appealing images', 'Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu']",3,5,5,5,5,4,3,4,5,3,5,2,2,4,2,2,4,1,3,4,2,2,4,華記小食,63,9,15,stable,3.5
84,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Comments from Other Users', 'Appealing images', 'Detailed Menu', 'Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",2,2,4,1,3,3,2,2,2,3,4,2,4,3,3,4,5,1,3,4,1,1,2,九記牛腩,44,12,16,stable,3.0
85,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Detailed Menu', 'Comments from Other Users', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",4,5,5,4,4,4,5,4,4,5,3,3,3,1,4,2,1,0,3,3,2,1,4,麥文記,76,15,7,emotional,3.5
86,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users', 'Discounts or Promotions', 'Rating', 'Pricing', 'Appealing images', 'Detailed Menu']",5,5,4,5,3,5,4,4,5,4,2,4,5,2,5,1,2,0,3,3,1,4,5,裕興咖啡,84,18,7,emotional,4.0
87,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Pricing', 'Comments from Other Users', 'Appealing images', 'Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",4,4,5,5,3,3,5,5,4,5,1,4,5,3,4,3,3,0,1,1,5,4,5,麥奀記,79,18,10,emotional,3.5
88,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Comments from Other Users', 'Pricing', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu']",5,5,5,5,4,4,4,5,5,5,2,5,4,1,4,1,1,1,2,4,2,1,4,第三代肥仔小食店,84,18,5,emotional,4.0
89,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Pricing', 'Comments from Other Users', 'Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images']",5,4,5,5,4,3,5,4,5,5,1,4,5,2,4,2,2,1,4,4,1,5,4,公和荳品廠,84,18,7,emotional,3.5
90,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Comments from Other Users']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Appealing images']",5,5,4,4,3,5,5,5,5,5,3,5,5,1,5,2,1,1,2,3,2,3,3,利強記北角雞蛋仔,84,20,7,emotional,3.0
91,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users', 'Appealing images', 'Rating', 'Discounts or Promotions', 'Detailed Menu']",1,2,2,4,4,1,1,2,4,4,4,3,3,5,2,3,3,1,3,5,2,2,5,金華冰廳,49,12,15,stable,3.5
92,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Detailed Menu', 'Comments from Other Users', 'Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images']",5,4,5,4,5,5,5,4,3,5,1,4,4,1,5,2,3,1,5,1,3,2,5,華姐清湯腩,82,18,7,emotional,3.5
93,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Pricing', 'Appealing images', 'Detailed Menu', 'Comments from Other Users', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",2,2,2,2,4,2,1,4,3,2,4,3,4,4,4,3,2,0,1,1,5,4,1,佳佳甜品,51,13,13,stable,3.5
94,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",3,3,5,5,3,4,4,5,4,4,3,4,4,2,5,2,2,0,3,3,2,3,5,滿記甜品,76,17,9,emotional,3.5
95,1,1,"['Pricing', 'Appealing images', 'Comments from Other Users']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",4,4,5,4,5,5,4,3,5,4,2,5,3,3,5,2,2,0,3,6,2,4,5,一樂燒鵝,80,17,9,emotional,3.5
96,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Detailed Menu', 'Pricing', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users']",5,5,5,4,3,5,4,3,5,5,1,4,3,2,3,1,2,0,5,1,2,4,2,嚐囍煲仔小菜,78,15,6,emotional,3.5
97,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Comments from Other Users', 'Rating', 'Detailed Menu', 'Pricing']",3,4,5,5,4,3,4,4,3,3,2,4,3,1,4,3,1,0,2,4,1,4,2,利苑酒家,72,14,7,emotional,3.5
98,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Detailed Menu', 'Rating', 'Comments from Other Users', 'Discounts or Promotions']",5,3,5,5,5,5,4,5,4,5,2,4,5,1,5,2,1,0,3,3,1,5,4,新斗記,87,19,6,emotional,3.5
99,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Appealing images']",4,5,5,5,4,3,3,4,4,2,2,4,1,5,3,5,4,0,3,3,3,4,5,肥姐小食店,64,10,16,stable,3.5
100,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Pricing', 'Appealing images', 'Comments from Other Users', 'Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",5,4,4,4,5,4,5,4,5,3,2,5,5,1,4,1,1,1,4,4,3,5,5,豪華咖啡茶廳,86,17,5,emotional,3.5
101,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Pricing', 'Detailed Menu', 'Comments from Other Users', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",4,4,5,3,4,5,5,4,5,5,2,3,4,2,5,1,2,0,4,6,2,2,4,金鳳茶餐廳,79,17,7,emotional,3.5
102,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",5,5,5,4,5,4,5,4,4,4,1,4,4,1,5,2,1,0,3,3,2,4,5,滿記甜品,86,17,5,emotional,3.5
103,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Rating', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu', 'Pricing', 'Comments from Other Users', 'Appealing images']",5,4,4,5,5,5,4,5,4,5,2,5,3,1,5,1,2,0,4,5,2,2,3,第三代肥仔小食店,82,18,6,emotional,4.0
104,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Comments from Other Users', 'Pricing', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu']",4,4,4,4,4,5,5,5,5,5,1,3,5,1,3,1,2,1,3,4,1,4,5,強記美食,84,16,5,emotional,3.5
105,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",4,3,4,3,4,4,5,5,4,5,2,4,4,1,4,1,3,1,4,3,2,5,2,鳳城酒家,77,17,7,emotional,3.5
106,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Appealing images', 'Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users', 'Detailed Menu']",4,5,5,4,5,5,5,5,5,5,1,5,4,1,5,2,1,1,4,5,2,4,5,鳳城酒家,90,19,5,emotional,3.5
107,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Comments from Other Users']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Appealing images']",2,1,3,4,2,3,2,2,2,3,5,4,1,2,4,4,3,1,2,4,1,5,5,文記車仔麵,53,12,14,stable,3.5
108,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Detailed Menu']",5,4,5,5,4,5,3,4,4,5,2,4,4,1,3,1,3,1,7,2,4,1,2,一點心,75,16,7,emotional,3.5
109,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",5,4,4,5,5,4,5,4,5,5,1,4,4,1,5,2,1,0,4,4,3,4,5,譚仔米線,87,18,5,emotional,4.0
110,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Detailed Menu', 'Pricing', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users']",3,5,5,4,4,3,5,3,4,1,3,2,2,3,2,4,2,0,4,6,2,2,4,利強記北角雞蛋仔,61,7,12,stable,3.0
111,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Pricing', 'Comments from Other Users', 'Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images']",4,5,5,4,4,4,4,5,5,5,2,5,3,3,5,1,1,1,5,1,2,2,3,文記車仔麵,80,18,7,emotional,3.5
112,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",5,3,5,4,4,5,4,5,5,5,2,5,5,2,3,1,2,0,2,4,3,1,2,公和荳品廠,78,18,7,emotional,3.5
113,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Appealing images']",4,4,3,4,3,4,3,3,5,3,1,3,3,1,5,3,2,1,5,1,2,2,4,周記點心,70,14,7,emotional,4.0
114,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",5,3,5,3,3,3,5,5,4,3,1,5,4,1,4,3,2,1,5,2,2,2,4,華姐清湯腩,75,16,7,emotional,3.5
115,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",5,5,5,5,5,5,4,4,5,5,1,5,3,1,5,1,1,1,4,3,2,2,3,澳洲牛奶公司,86,18,4,emotional,3.5
116,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Comments from Other Users']","['Discounts or Promotions', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Detailed Menu', 'Comments from Other Users', 'Rating']",3,2,3,2,4,1,3,2,3,3,3,4,3,2,3,1,3,1,3,4,2,5,5,麥文記,61,13,9,emotional,3.5
117,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Comments from Other Users']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu', 'Appealing images', 'Pricing']",2,1,2,4,1,2,4,1,2,3,5,3,2,4,1,5,5,0,4,4,2,2,5,何洪記粥麵專家,40,9,19,stable,3.5
118,1,1,"['Pricing', 'Appealing images', 'Comments from Other Users']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",3,5,4,5,5,4,4,3,4,4,1,5,3,1,3,2,1,1,3,3,1,1,3,文記車仔麵,75,15,5,emotional,3.5
119,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Detailed Menu', 'Comments from Other Users', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",4,5,4,4,5,5,5,3,5,5,3,4,5,2,5,1,1,1,1,1,5,2,5,第三代肥仔小食店,83,19,7,emotional,4.0
120,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Appealing images', 'Pricing', 'Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users']",4,4,5,3,4,4,5,5,5,5,2,3,5,1,5,3,2,1,1,2,5,4,5,豪華咖啡茶廳,82,18,8,emotional,3.5
121,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Comments from Other Users']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",1,3,2,4,2,2,2,2,3,4,4,1,4,4,3,4,3,1,3,5,1,5,2,合益泰小食,49,12,15,stable,3.5
122,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",5,4,5,5,4,5,5,3,4,4,2,5,5,1,4,2,2,0,1,1,5,4,5,沾仔記,84,18,7,emotional,3.5
123,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Detailed Menu', 'Pricing']",5,5,4,3,5,5,5,5,4,5,1,4,4,2,4,1,1,0,2,6,2,3,5,華姐清湯腩,85,17,5,emotional,3.5
124,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Detailed Menu', 'Pricing', 'Comments from Other Users', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images']",5,3,5,4,3,5,5,5,4,4,2,4,5,3,5,3,2,1,2,4,2,2,4,唐宮小聚,77,18,10,emotional,4.0
125,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Detailed Menu', 'Comments from Other Users', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",2,1,4,2,1,1,4,2,1,3,2,4,5,2,4,2,2,1,6,1,3,4,5,富記粥品,59,16,8,emotional,3.5
126,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Pricing', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users', 'Detailed Menu']",3,5,5,3,4,3,4,5,5,3,3,3,5,1,4,1,2,1,2,3,2,2,5,維記咖啡粉麵,76,15,7,emotional,3.5
127,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",2,3,2,4,4,3,3,2,2,4,3,4,3,2,4,1,2,0,7,1,4,3,4,金華冰廳,63,15,8,emotional,3.5
128,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Comments from Other Users', 'Detailed Menu', 'Appealing images', 'Rating']",5,4,3,4,5,4,3,4,3,4,2,3,4,3,3,1,1,0,2,4,1,1,4,滿記甜品,71,14,7,emotional,3.5
129,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Comments from Other Users', 'Detailed Menu', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",4,4,4,3,5,4,4,5,3,4,2,4,3,1,3,2,2,0,7,2,4,1,5,維記咖啡粉麵,73,14,7,emotional,3.5
130,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Detailed Menu', 'Comments from Other Users', 'Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images']",5,5,5,4,5,3,4,5,5,4,2,5,5,1,4,1,1,0,3,5,2,1,4,甘牌燒鵝,83,18,5,emotional,3.0
131,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",2,4,1,3,2,4,2,1,2,4,5,3,4,5,2,3,3,1,3,4,2,4,5,再興燒臘,51,13,16,stable,3.5
132,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Pricing', 'Rating', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Detailed Menu', 'Comments from Other Users']",5,4,3,4,4,4,5,4,4,4,2,5,4,2,4,1,2,0,4,4,3,2,5,文記車仔麵,78,17,7,emotional,3.5
133,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",3,5,4,4,5,4,4,5,4,4,2,4,5,1,3,2,1,1,5,1,2,1,5,瑞記咖啡,78,16,6,emotional,3.5
134,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Pricing', 'Detailed Menu', 'Comments from Other Users', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",3,5,4,5,3,4,5,5,3,2,4,2,2,4,1,4,2,0,5,1,2,5,5,富記粥品,64,7,14,stable,3.5
135,1,1,"['Pricing', 'Appealing images', 'Comments from Other Users']","['Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Rating', 'Detailed Menu', 'Comments from Other Users']",3,3,3,3,3,1,1,1,1,4,2,5,4,2,5,2,3,1,3,4,1,5,2,鳳城酒家,59,18,9,emotional,3.5
136,1,1,"['Pricing', 'Appealing images', 'Comments from Other Users']","['Appealing images', 'Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu', 'Comments from Other Users']",3,3,4,4,5,4,5,4,5,1,2,3,2,4,2,5,3,1,7,1,4,2,4,甘の季節,61,8,14,stable,3.5
137,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Rating', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Comments from Other Users', 'Discounts or Promotions', 'Detailed Menu', 'Pricing']",5,4,4,4,5,4,4,5,4,5,2,4,4,3,4,1,2,1,4,4,2,5,3,蘭芳園,80,17,8,emotional,3.0
138,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",5,5,4,4,4,5,5,4,5,5,1,4,5,2,5,2,2,1,2,4,2,4,5,勝香園,86,19,7,emotional,3.5
139,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users', 'Detailed Menu', 'Appealing images', 'Rating']",4,5,4,4,4,3,5,3,5,5,2,5,5,2,3,2,3,0,2,3,2,4,4,甘牌燒鵝,78,18,9,emotional,3.0
140,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Comments from Other Users']","['Detailed Menu', 'Comments from Other Users', 'Pricing', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",5,4,4,5,3,3,4,4,3,4,2,4,5,3,3,3,1,1,4,4,2,4,4,紅茶冰室,74,16,9,emotional,3.5
141,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",5,4,5,5,5,4,5,5,5,5,1,5,5,2,5,1,1,1,4,4,2,4,3,甘牌燒鵝,89,20,5,emotional,3.0
142,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Appealing images']",5,3,5,3,5,4,5,4,4,4,1,4,4,1,5,3,3,0,2,3,1,2,5,沾仔記,78,17,8,emotional,3.5
143,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",4,4,4,3,5,5,4,5,4,1,5,1,1,5,2,3,3,1,3,3,2,4,5,周記點心,60,5,16,stable,4.0
144,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",5,5,5,4,5,5,5,5,5,5,1,5,5,1,5,2,1,1,5,1,2,2,4,麥文記,89,20,5,emotional,3.5
